SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
CCCCCCC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C4=NC5=C(S4)N=C(C6=CC=C(C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)S7)S6)S5,-5.39,-3.68,17.4,0.98,0.51,8.63,-,-,-,-,10.1016/j.solmat.2017.07.016
CC1=CC=C(N(C2=CC=C(N3C(C=CC=C4)=C4N(C5=CC=C(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)C=C5)CC3)C=C2)C8=CC=C(C)C=C8)C=C1,-5.25,-2,14.58,0.91,0.67,9.07,19.17,1.01,0.7,13.65,10.1016/j.apsusc.2017.04.153
CC1=CC=C(N(C2=CC=C(N3C(C=C(C=CC=C4)C4=C5)=C5N(C6=CC=C(N(C7=CC=C(C)C=C7)C8=CC=C(C)C=C8)C=C6)C9=C3C=CC=C9)C=C2)C%10=CC=C(C)C=C%10)C=C1,-5.2,-2.36,16.26,0.93,0.54,8.16,19.17,1.01,0.7,13.65,10.1016/j.apsusc.2017.04.153
COC1=CC=C(N(C2=C3C(C=CC=C3)=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C6=C2C=CC=C6)C7=CC=C(OC)C=C7)C=C1,-5.26,-3.01,19.37,1.03,0.67,13.41,21.4,1.06,0.76,17.27,10.1039/C7CC03444J
COC1=CC=C(N(C2=CC=C(C3=C4C(C=CC=C4)=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=C3C=CC=C8)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.31,-2.56,21.39,1.07,0.78,17.56,21.4,1.06,0.76,17.27,10.1039/C7CC03444J
COC1=CC=C(N(C2=CC=C(C3=C(OC)C(OC)=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C7=NON=C73)C=C2)C8=CC=C(OC)C=C8)C=C1,-5.42,-3.13,19.9,0.92,0.6,13.2,7,1.34,0.56,5.26,10.1021/acs.jpcc.7b04614
COC1=CC=C(N(C2=CC=C3C(C(C=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C6)=C6N3C7=CC8=CC=C(OC)C(C9=C(OC)C=CC%10=C9C=CC(N%11C%12=C(C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12)C%15=CC(N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)=CC=C%15%11)=C%10)=C8C=C7)=C2)C%18=CC=C(OC)C=C%18)C=C1,-5.34,-2.38,13.23,0.98,0.5,8.73,18.98,0.91,0.51,8.73,10.1039/C6RA25606F
COC(C=CC1=C2C=CC(N3C4=C(C=CC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C4)C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C73)=C1)=C2C%10=C%11C(C=C(N%12C%13=C(C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16%12)C=C%11)=CC=C%10OC,-5.39,-2.36,16.53,0.89,0.56,8.38,18.98,0.91,0.51,8.73,10.1039/C6RA25606F
COC(C=CC1=C2C=CC(N3C4=C(C=CC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C4)C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C73)=C1)=C2C%10=C%11C(C=C(N%12C%13=C(C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16%12)C=C%11)=CC=C%10OC,-5.4,-2.37,16.69,0.9,0.49,7.08,18.98,0.91,0.51,8.73,10.1039/C6RA25606F
COC1=CC=C(N(C2=CC=C(C(C=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5)=C5N6CC7=CC=CC=C7C8=CC=CC=C8CN9C%10=C(C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C%10)C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%139)C6=C2)C%16=CC=C(OC)C=C%16)C=C1,-5.1,-,20.6,1.04,0.76,16.5,21.4,1.07,0.75,17.5,10.1002/asia.201700173
